# Distance Angle
19.642868 74.373558
22.812105 81.619957
20.501543 83.136581
23.086468 85.205322
20.970966 74.667328
19.887909 75.253471
20.368469 86.507484
22.289738 79.116730
19.344023 76.701355
20.936895 79.696312
19.288471 73.830147
17.137791 77.091171
21.409407 79.064125
22.340662 83.763695
22.466692 79.508293
20.020374 79.900536
22.829811 83.669701
21.871546 88.718536
22.497179 91.460175
22.843479 88.728531
20.892460 79.865692
18.769524 82.622520
20.260992 87.816856
18.902807 86.796562
21.137938 87.639648
22.351315 91.163994
20.187750 83.604362
22.847897 87.318710
24.022436 91.870049
24.633528 88.202553
24.494274 87.117241
20.673717 77.275833
19.465651 76.811684
18.408867 72.525726
20.431023 83.114876
22.041649 82.566772
20.317362 81.185883
22.440046 81.089005
22.039207 81.275452
20.202982 75.751625
21.556107 76.253525
21.994829 72.527176
23.111431 80.418427
23.654949 82.390739
23.000277 80.422882
24.762478 76.977898
25.391857 87.270004
27.635939 87.246338
23.798862 88.492638
25.542948 90.526756
26.239326 88.140999
22.803061 89.299767
25.668875 86.042488
25.920753 88.496468
24.476229 82.929253
20.668179 73.129219
22.169441 78.380653
20.666048 75.310242
20.038937 81.465996
20.697386 82.147415
24.940956 88.579765
22.981386 89.189018
26.074490 90.646149
20.486492 80.473511
23.640097 85.245361
24.569183 80.258438
22.237404 86.364700
23.041117 88.143791
25.344435 89.549507
21.727556 82.331589
24.129389 86.314186
22.532049 84.592056
21.633888 87.337448
23.455473 91.975479
26.626339 91.042709
26.401787 87.972519
23.978874 87.677277
24.756174 89.243011
24.616486 85.557457
25.291862 86.072144
24.121891 87.722374
23.100657 85.920662
20.198772 82.324875
21.161489 84.274773
19.383373 90.631577
18.474192 79.465706
19.780287 83.427773
22.129591 87.835541
23.518900 83.152237
24.708595 84.032310
23.146240 86.751167
23.617229 85.679207
26.043318 90.890907
26.192249 88.949722
24.949209 92.376167
25.149982 85.505539
23.704790 98.892326
26.184669 89.421776
28.603966 90.003975
31.009922 92.535194
30.422316 92.670853
28.532314 92.135193
27.018745 79.641525
26.508204 87.436432
25.683382 88.282913
29.937056 93.129066
30.318684 96.530418
30.399984 87.817337
26.461435 85.114708
27.464455 90.141602
26.751556 95.319771
25.178818 89.486198
24.199390 84.321182
22.798229 82.446327
24.889610 78.903091
25.172190 90.500229
24.287430 86.378006
22.700922 86.932343
20.178087 81.782867
20.800365 84.197388
19.335384 72.309761
17.810549 72.882172
20.295998 72.277023
20.297655 76.104012
21.488970 70.008827
21.790749 73.920021
19.141926 78.155144
20.843445 80.920769
19.937588 77.069290
17.216850 69.881020
19.984867 67.748398
21.260841 70.039536
19.933952 80.253349
18.181862 80.490379
23.117538 88.250687
22.482862 84.065811
21.481550 84.187668
21.088228 83.244835
19.340782 77.916069
20.929914 76.787399
17.366373 77.195686
14.704964 80.405426
17.121838 78.728592
19.669613 79.024971
22.037483 80.585854
18.692175 76.968231
20.794500 85.866508
18.253376 73.461258
22.413031 73.623070
20.603792 80.279869
20.885571 83.378387
22.450388 82.831322
25.753435 82.125511
22.160240 76.190292
19.529387 72.098633
20.423843 87.065659
22.839266 90.762115
21.080332 83.757919
23.526508 84.620438
23.584814 88.523094
26.168732 86.448708
21.270103 84.072037
19.550056 80.173500
20.684254 78.464821
19.732830 71.399811
21.084871 78.881554
21.564510 79.755180
20.576004 79.692215
20.674774 69.883934
21.564093 75.611992
25.930525 84.663620
21.759911 79.305969
21.378620 75.251892
21.825541 70.660713
20.380095 79.127151
21.926075 77.012787
21.825047 81.029007
20.746542 75.408722
20.109365 74.814323
19.721304 79.824409
19.141205 80.283318
17.428402 77.945915
19.243084 79.897354
22.878775 78.163895
19.402210 81.961830
22.395811 88.392593
21.318514 84.671707
24.172178 88.459702
19.913054 89.499039
22.001810 87.573700
18.568130 84.442978
20.704184 81.520462
27.676697 91.460968
23.970377 88.866295
23.479942 89.419533
23.024948 83.051498
19.840435 80.897141
19.272614 80.575165
19.290773 78.143814
21.492470 82.843704
16.876923 75.755157
19.293888 81.646477
21.837290 82.310349
21.265320 82.282143
22.826313 87.616890
19.437845 87.519188
22.910320 88.226120
24.348101 92.133301
26.068506 93.128235
23.256411 85.603935
22.987226 84.117249
20.489765 89.157074
26.577854 93.558060
23.422476 84.931656
20.113195 77.954094
20.463581 74.992233
17.742702 80.641403
22.016441 81.091179
19.978855 78.223656
23.231272 79.486931
19.753666 73.700287
21.253700 78.357246
21.026125 80.046432
22.664839 79.313622
23.143358 83.044991
20.666851 79.733307
19.249426 75.585548
22.889488 76.397636
22.663538 71.969429
23.203457 77.213058
24.015127 77.569664
25.467831 83.591522
25.733599 76.243034
21.932777 84.827576
21.187063 85.270767
24.179731 87.629555
22.113163 84.839478
20.814798 85.403114
19.609121 78.623901
19.864258 79.339935
23.535149 86.284653
26.018127 89.870827
25.238815 76.453568
23.186930 79.866341
21.747309 86.522194
20.806126 86.983154
23.182138 77.883865
19.967571 72.656845
17.642454 68.746643
21.912788 80.379944
23.281164 83.283615
22.162277 81.788719
20.448608 74.391808
23.522154 68.913620
