# dom1_core dom2_core
25.520901 25.191749
25.601028 25.120200
26.058855 25.148213
25.993894 25.333054
25.827401 24.275608
25.405662 25.277318
25.258726 24.912551
23.774925 24.808223
24.413361 24.084638
25.174558 23.789376
24.924493 24.611412
24.754912 24.531605
25.285427 25.025299
24.738225 24.994064
23.791687 25.476885
24.811567 26.536307
26.155833 25.535159
26.138564 25.595344
24.147380 25.720902
24.227854 24.901880
25.242341 24.570213
24.634342 25.996324
24.292903 25.246826
24.890542 25.260975
24.984559 24.940397
24.763508 24.721770
25.423327 24.726023
25.161123 24.640292
24.820401 24.500180
23.380431 24.203945
24.045945 23.835755
24.870392 24.374753
24.356436 24.273994
24.331424 24.278704
24.236653 24.762768
25.340253 24.531275
25.180418 25.123281
24.627640 25.286385
25.158042 24.915891
25.536899 24.982869
25.109640 25.174124
25.778748 25.519559
25.691542 24.886675
26.164110 25.213612
24.794483 24.057449
25.277547 24.496556
23.654320 25.007871
24.572700 24.948025
24.225571 25.081857
25.043969 25.304314
24.254130 25.720305
23.980890 25.728064
24.176993 26.459604
23.376439 26.456265
24.335847 26.198405
25.097335 26.475110
25.757102 25.477441
25.882405 25.144112
24.680520 25.176701
25.270652 24.610609
25.900736 25.361693
25.540271 25.173715
25.924938 25.711407
25.855480 25.795608
25.881109 26.322294
26.128958 26.300382
26.006231 26.198091
25.271276 25.680097
24.531486 25.902423
24.207780 26.581791
25.457774 26.156731
25.577788 26.238544
25.703188 25.557402
26.131007 25.369872
26.183351 24.652819
25.470885 25.410654
26.224973 25.510042
27.264259 26.234449
26.853909 25.974983
26.012877 26.341255
26.399769 26.104221
26.837857 26.217976
27.384028 26.016671
27.177542 25.463685
27.328321 26.248777
25.753446 25.850658
25.739791 24.928077
26.747617 26.123747
26.114727 26.129577
25.761657 26.030358
26.203705 25.581587
26.096726 26.263017
25.914505 27.187177
26.052109 27.674783
25.938804 26.812337
26.003995 26.689291
26.745084 27.238176
26.163152 26.625215
26.548589 26.598508
27.088776 26.250589
27.417816 26.014841
27.030897 26.553515
26.366772 26.678238
27.235424 26.522819
26.830878 26.735468
27.537603 26.786356
26.471822 26.053036
26.726013 25.895273
27.207316 25.894039
26.295730 26.616868
26.347260 26.713001
26.363943 26.683847
25.497295 26.275229
26.373002 25.533324
26.306117 25.193383
25.831313 25.239321
25.065082 25.143999
25.455020 25.299342
25.039536 26.994611
25.733566 27.186022
25.418894 26.632989
25.597240 26.298666
26.247154 26.888973
26.176948 27.091577
26.128054 26.381295
26.117510 27.848462
27.211261 27.561171
26.151028 27.583335
26.025636 27.569894
26.007017 27.407611
26.256438 26.899157
26.103344 26.707634
26.323043 26.913124
26.570408 26.031590
26.847073 25.811730
25.931717 26.407867
26.416088 26.983235
26.168640 26.348254
26.786854 25.900345
27.840771 25.169088
27.140283 26.463743
27.302225 26.235026
27.095153 25.929976
27.292079 26.583267
26.329284 27.025402
25.692046 26.860545
25.608228 26.689766
26.523417 26.576164
27.407311 25.743930
28.165134 25.577564
27.879995 25.643187
27.630581 26.858812
27.031254 26.443015
26.790269 26.270047
27.632216 26.406683
27.097808 26.600700
27.955735 25.656890
27.322257 25.951503
27.174953 25.373977
27.291529 25.874527
26.979508 25.707891
25.678742 24.949532
26.548343 24.972817
25.798039 24.970207
25.157453 26.472074
24.954841 24.872379
24.363649 25.391564
25.561533 25.389388
24.813121 25.594339
24.356555 25.845149
23.613073 25.296149
24.385722 24.396647
24.447814 25.509173
24.783353 25.129102
24.775223 24.891569
24.606609 25.668085
24.429656 25.845486
23.864184 25.735125
24.030481 25.989093
24.037187 25.785650
23.932725 26.665244
24.196256 25.648669
25.015210 25.858512
25.131489 25.949931
25.494363 25.913017
24.952574 26.689753
24.970470 26.324219
24.456648 26.268769
25.143189 25.694229
25.903106 26.257704
26.857655 26.023872
26.449071 26.020210
27.157614 26.398687
26.132815 26.084213
26.761413 25.982247
26.445162 27.232440
26.669724 27.234270
26.652809 26.284829
26.206351 26.417248
25.403734 25.713470
25.958183 26.122511
26.191309 25.815446
26.975139 25.710736
26.769824 26.336083
27.183388 26.451556
26.185922 25.650782
26.121375 25.768165
26.654536 25.570461
25.464662 25.808693
26.084958 25.972056
25.981088 25.668207
25.845993 27.224397
26.008181 26.403158
26.159571 25.732358
25.774857 25.545609
26.120361 26.226156
26.945062 26.722267
26.609160 26.952902
27.056912 27.166842
27.305449 26.494469
27.167851 26.542683
26.933971 26.391004
27.633451 26.428842
27.390928 26.669326
26.154603 26.187336
26.750850 26.271966
25.494474 26.593288
25.510215 25.942707
27.165514 25.936734
27.645674 26.316442
28.038283 27.043297
28.593939 26.185113
27.656075 25.937058
28.397640 26.381084
27.849175 26.254318
28.046372 26.861198
28.351701 26.935506
28.519743 26.959534
28.703478 25.597169
28.932835 26.558114
28.761425 26.525799
29.551834 26.622395
29.784239 26.948632
28.623332 26.778457
28.385036 26.269443
